No.;Date;Sample;Class A;Class B;Class C;Class D;Total
180;21-Aug-22;2700;100;1600;0;0;1700
181;22-Aug-22;4712;150;1350;0;0;1500
182;23-Aug-22;4840;50;1600;0;0;1650
183;24-Aug-22;3748;55;1050;0;0;1105
184;25-Aug-22;5420;0;950;0;0;950
185;26-Aug-22;6808;0;1050;0;0;1050
186;27-Aug-22;5456;0;750;0;0;750
187;28-Aug-22;6964;0;550;0;0;550
188;29-Aug-22;5368;100;2000;0;0;2100
189;30-Aug-22;5192;0;1800;0;0;1800
190;31-Aug-22;4752;0;1400;0;0;1400
191;01-Sep-22;6588;0;1450;0;0;1450
192;02-Sep-22;6468;0;2000;0;0;2000
193;03-Sep-22;2380;0;850;0;0;850
194;04-Sep-22;5780;0;750;0;0;750
195;06-Sep-22;3424;100;700;0;0;800
196;07-Sep-22;4028;0;1950;0;0;1950
197;08-Sep-22;3480;50;1950;0;0;2000
198;09-Sep-22;3586;0;1750;0;0;1750
199;10-Sep-22;4672;0;800;0;0;800
200;11-Sep-22;5992;0;600;0;0;600
201;12-Sep-22;2640;0;1250;0;0;1250
202;13-Sep-22;5848;0;1600;0;0;1600
203;14-Sep-22;5032;0;600;0;0;600
204;15-Sep-22;8126;0;2150;0;0;2150
205;16-Sep-22;5333;0;1800;0;0;1800
206;17-Sep-22;4824;0;800;0;0;800
207;18-Sep-22;6088;50;1100;0;0;1150
208;19-Sep-22;5380;100;2500;0;0;2600
209;20-Sep-22;5632;50;1900;0;0;1950
210;21-Sep-22;3480;50;1850;0;0;1900
211;22-Sep-22;3888;100;2350;0;0;2450
212;23-Sep-22;4024;0;1800;0;0;1800
213;24-Sep-22;6960;0;450;0;0;450
214;25-Sep-22;3612;50;1200;0;0;1250
215;26-Sep-22;6504;50;1600;0;0;1650
216;27-Sep-22;7940;150;2950;0;0;3100
217;28-Sep-22;3400;50;1400;0;0;1450
218;30-Sep-22;5250;50;1050;0;0;1100
219;01-Oct-22;3540;50;1050;0;0;1100
220;02-Oct-22;5312;50;550;0;0;600
221;03-Oct-22;6588;0;2000;0;0;2000
222;04-Oct-22;4256;50;1900;0;0;1950
223;05-Oct-22;3888;100;2650;0;0;2750
224;06-Oct-22;59576;50;2300;0;0;2350
225;07-Oct-22;71820;300;2000;0;0;2300
226;09-Oct-22;26608;100;850;0;0;950
227;24-Oct-22;4776;0;350;0;0;350
228;26-Oct-22;6328;100;500;0;0;600
229;28-Oct-22;5856;0;650;0;0;650
230;30-Oct-22;5632;200;500;0;0;700
231;31-Oct-22;7388;50;950;0;0;1000
232;01-Nov-22;5268;0;600;0;0;600
233;02-Nov-22;7220;0;1100;0;0;1100
234;03-Nov-22;5288;0;1000;0;0;1000
235;06-Nov-22;3300;0;950;0;0;950
236;08-Nov-22;4128;100;600;0;0;700
237;10-Nov-22;31069;0;1050;0;0;1050
238;12-Nov-22;5124;150;0;0;0;150
239;15-Nov-22;3460;150;350;0;0;500
240;16-Nov-22;7556;850;0;0;0;850
241;17-Nov-22;6180;0;550;0;0;550
242;18-Nov-22;6520;0;700;0;0;700
243;20-Nov-22;6188;0;550;0;0;550
244;21-Nov-22;5968;50;550;0;0;600
245;23-Nov-22;4856;0;500;0;0;500
246;25-Nov-22;4484;0;850;0;150;1000
247;27-Nov-22;6160;500;500;0;0;1000
248;28-Nov-22;5700;150;500;0;0;650
249;29-Nov-22;4510;50;650;0;0;700
250;30-Nov-22;8576;100;500;0;0;600
251;03-Dec-22;8448;50;250;0;0;300
252;04-Dec-22;2960;450;0;0;0;450
253;07-Dec-22;3800;200;350;0;0;550
254;08-Dec-22;8060;250;350;0;0;600
255;09-Dec-22;4916;900;650;0;0;1550
256;12-Dec-22;4590;0;650;0;0;650
257;13-Dec-22;7200;300;550;0;0;850
258;14-Dec-22;6520;150;500;0;0;650
259;15-Dec-22;6676;250;750;0;0;1000
260;16-Dec-22;2520;50;850;0;0;900
261;17-Dec-22;4120;150;600;0;50;800
262;18-Dec-22;6352;100;550;0;0;650
263;20-Dec-22;5764;0;1000;0;0;1000
264;21-Dec-22;5260;100;1150;0;0;1250
265;22-Dec-22;6912;150;650;0;0;800
266;23-Dec-22;6500;0;800;0;0;800
267;24-Dec-22;3880;100;600;0;0;700
268;26-Dec-22;2500;150;1200;0;0;1350
269;27-Dec-22;1920;250;2050;0;0;2300
270;28-Dec-22;3200;550;1800;0;0;2350
271;29-Dec-22;5568;350;1700;0;0;2050
